,Class
0,9
1,2
2,9
3,1
4,8
5,6
6,2
7,2
8,6
9,2
10,2
11,6
12,3
13,3
14,1
15,8
16,9
17,3
18,3
19,2
20,1
21,2
22,2
23,6
24,1
25,2
26,2
27,3
28,3
29,3
30,2
31,9
32,2
33,3
34,6
35,3
36,6
37,7
38,6
39,2
40,7
41,8
42,2
43,8
44,1
45,2
46,3
47,3
48,9
49,8
50,8
51,1
52,9
53,7
54,2
55,8
56,7
57,9
58,3
59,3
60,2
61,8
62,6
63,8
64,3
65,3
66,3
67,3
68,1
69,9
70,9
71,6
72,3
73,8
74,3
75,9
76,3
77,3
78,9
79,2
80,6
81,9
82,3
83,3
84,2
85,2
86,1
87,1
88,2
89,3
90,2
91,1
92,6
93,7
94,3
95,3
96,2
97,3
98,3
99,8
100,1
101,2
102,9
103,3
104,2
105,3
106,2
107,1
108,2
109,2
110,9
111,2
112,2
113,8
114,1
115,2
116,3
117,2
118,3
119,3
120,2
121,2
122,2
123,2
124,3
125,3
126,9
127,2
128,8
129,1
130,8
131,2
132,2
133,3
134,2
135,8
136,2
137,2
138,2
139,1
140,8
141,3
142,7
143,3
144,3
145,2
146,1
147,3
148,2
149,1
150,3
151,9
152,3
153,1
154,2
155,3
156,8
157,8
158,3
159,3
160,6
161,3
162,8
163,3
164,9
165,3
166,3
167,2
168,2
169,1
170,8
171,6
172,2
173,3
174,3
175,3
176,7
177,1
178,2
179,3
180,6
181,3
182,2
183,1
184,7
185,2
186,2
187,3
188,7
189,3
190,3
191,3
192,3
193,8
194,3
195,6
196,1
197,3
198,2
199,3
200,3
201,2
202,1
203,3
204,9
205,2
206,6
207,8
208,1
209,9
210,1
211,2
212,3
213,3
214,2
215,2
216,3
217,3
218,3
219,9
220,7
221,8
222,3
223,2
224,9
225,2
226,1
227,3
228,9
229,8
230,6
231,3
232,2
233,3
234,9
235,5
236,8
237,3
238,3
239,4
240,1
241,3
242,3
243,9
244,9
245,8
246,3
247,3
248,1
249,3
250,8
251,1
252,2
253,8
254,3
255,2
256,1
257,8
258,3
259,2
260,9
261,3
262,3
263,8
264,1
265,3
266,6
267,6
268,6
269,2
270,2
271,3
272,2
273,3
274,3
275,6
276,8
277,9
278,3
279,8
280,8
281,3
282,6
283,3
284,9
285,1
286,2
287,3
288,3
289,8
290,2
291,2
292,2
293,2
294,3
295,6
296,2
297,8
298,1
299,8
300,3
301,8
302,2
303,8
304,9
305,1
306,3
307,2
308,2
309,7
310,3
311,3
312,9
313,8
314,2
315,8
316,3
317,3
318,3
319,2
320,1
321,2
322,3
323,2
324,7
325,9
326,1
327,9
328,2
329,3
330,8
331,9
332,2
333,1
334,2
335,1
336,3
337,8
338,1
339,3
340,2
341,2
342,2
343,3
344,3
345,3
346,1
347,3
348,9
349,6
350,3
351,3
352,9
353,8
354,9
355,3
356,3
357,1
358,3
359,8
360,2
361,8
362,2
363,3
364,3
365,6
366,1
367,3
368,6
369,3
370,8
371,3
372,2
373,8
374,2
375,7
376,2
377,3
378,7
379,3
380,9
381,3
382,6
383,3
384,6
385,8
386,9
387,3
388,3
389,3
390,1
391,6
392,1
393,6
394,8
395,2
396,2
397,3
398,3
399,8
400,2
401,3
402,3
403,2
